"Item"	"Group"	"Subject"	"MatrixLeftPredicate"	"Condition"	"Color"	"altercolor"	"Buffy1"	"Buffy2"	"Actual1"	"Actual2"	"Sentence"	"Continuation"
1	1	"First"	"Thought"	"Good"	"green"	"red"	"green"	"red"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
1	2	"First"	"Was"	"Good"	"green"	"red"	"green"	"green"	"green"	"red"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
1	3	"First"	"Thought"	"Fix"	"green"	"red"	"red"	"green"	"green"	"green"	"Buffy thought that, when it was drawn, the ball was green"	"As a matter of fact, her <em>draw</em> guess was correct"
1	4	"First"	"Was"	"Fix"	"green"	"red"	"green"	"green"	"red"	"green"	"when it was drawn, the ball was green"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
1	5	"Second"	"Thought"	"Good"	"green"	"red"	"green"	"green"	"red"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
1	6	"Second"	"Was"	"Good"	"green"	"red"	"green"	"green"	"red"	"green"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
1	7	"Second"	"Thought"	"Fix"	"green"	"red"	"green"	"red"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green"	"As a matter of fact, her <em>shake</em> guess was correct"
1	8	"Second"	"Was"	"Fix"	"green"	"red"	"green"	"green"	"green"	"red"	"after the shake, the ball was green"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
1	9	"Again"	"Thought"	"Test-Ent"	"green"	"red"	"red"	"green"	"green"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
1	10	"Again"	"Was"	"Good"	"green"	"red"	"red"	"green"	"green"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
1	11	"Again"	"Thought"	"Test-Proj"	"green"	"red"	"green"	"green"	"red"	"green"	"Buffy thought that, after the shake, the ball would be green again"	"As a matter of fact, her <em>shake</em> guess was correct"
1	12	"Again"	"Was"	"Fix"	"green"	"red"	"green"	"green"	"red"	"green"	"after the shake, the ball was green again"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
2	2	"First"	"Thought"	"Good"	"yellow"	"pink"	"yellow"	"pink"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
2	3	"First"	"Was"	"Good"	"yellow"	"pink"	"yellow"	"yellow"	"yellow"	"pink"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
2	4	"First"	"Thought"	"Fix"	"yellow"	"pink"	"pink"	"yellow"	"yellow"	"yellow"	"Buffy thought that, when it was drawn, the ball was yellow"	"As a matter of fact, her <em>draw</em> guess was correct"
2	5	"First"	"Was"	"Fix"	"yellow"	"pink"	"yellow"	"yellow"	"pink"	"yellow"	"when it was drawn, the ball was yellow"	"As a matter of fact, Buffy's <em>draw</em> guess was correct"
2	6	"Second"	"Thought"	"Good"	"yellow"	"pink"	"yellow"	"yellow"	"pink"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
2	7	"Second"	"Was"	"Good"	"yellow"	"pink"	"yellow"	"yellow"	"pink"	"yellow"	"after the shake, the ball was yellow"	"As a matter of fact, Buffy's <em>shake</em> guess was correct"
2	8	"Second"	"Thought"	"Fix"	"yellow"	"pink"	"yellow"	"pink"	"yellow"	"yellow"	"Buffy thought that, after the shake, the ball would be yellow"	"As a matter of fact, her <em>shake</em> guess was correct"
